Walking,Cool Down
Meditation,Cool Down
Self massage: legs,Cool Down
Self massage: arms,Cool Down
Self massage: back,Cool Down
Self massage: abs/chest,Cool Down
Child's pose,Cool Down
Corpse Pose,Cool Down
Cat-Cow stretch,Cool Down
Seated Spinal Twist,Cool Down
Supine Spinal Twist,Cool Down
Thread the need pose,Cool Down
Easy Pose,Cool Down
Neck Stretch,Flexibility
Shoulder Stretch,Flexibility
Tricep Stretch,Flexibility
Chest Stretch,Flexibility
Upper Back Stretch,Flexibility
Forward Fold,Flexibility
Seated Forward Bend,Flexibility
Hamstring Stretch,Flexibility
Quad Stretch,Flexibility
Inner Thigh Stretch,Flexibility
Calf Stretch,Flexibility
Spinal Twist,Flexibility
Single-leg Stand,Balance
Tandem Stand,Balance
Clock Reaches,Balance
Heel-toe Walk,Balance
Single-leg Squats,Balance
Tree Pose,Balance
Warrior III Pose,Balance
Half Moon Pose,Balance
Standing Knee to Elbow,Balance
Crossed Leg Balance,Balance
Flamingo Stand,Balance
Ballet Releve,Balance
Unstable Support Stand,Balance
Jumping Jacks,Warm-Ups
Arm Circles,Warm-Ups
Leg Swings,Warm-Ups
High Knees,Warm-Ups
Butt Kicks,Warm-Ups
Torso Twists,Warm-Ups
Hip Circles,Warm-Ups
Ankle Circles,Warm-Ups
Arm Swings,Warm-Ups
Side Lunges,Warm-Ups
Cat-Cow stretch,Warm-Ups
March in Place,Warm-Ups
Walking,Warm-Ups
Jog,Warm-Ups
Squats,Strength
Push-ups,Strength
Reverse Lunges,Strength
Plank,Strength
Glute Bridges,Strength
Tricep Dips,Strength
Single-Leg Glute Bridges,Strength
Mountain Climbers,Strength
Side Plank,Strength
Calf Raises,Strength
Pike Push-Ups,Strength
Plank with Shoulder Taps,Strength
Jumping Jacks,Cardio
High Knees,Cardio
Butt Kicks,Cardio
Burpees,Cardio
Squat Jumps,Cardio
Mountain Climbers,Cardio
Skaters,Cardio
Jumping Lunges,Cardio
Run in Place,Cardio
Boxer Shuffle,Cardio
Cross Body Mountain Climbers,Cardio
Jump Rope,Cardio
